Account,Post Type,Media ID,Caption,Date,Location,Post URL,Type Name,Media Count,Caption Hashtags,Caption Mentions,Likes,Comments,Title,URL
stoopingnyc,post,3208617460659436165,Looks like the G/F stop on Hoyt-schndnwndnenxndn (not even going to try to spell it!). #stoopingbrooklyn,2023-10-07 22:17:09,None,https://www.instagram.com/p/CyHTJSauLqF,GraphImage,1,['stoopingbrooklyn'],[],2838,102,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/387265116_1013035893174144_2202484811997927439_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=CyL3D4LVNeAAX_Yq9Va&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwODYxNzQ2MDY1OTQzNjE2NQ%3D%3D.2-ccb7-5&oh=00_AfAyqL_YQttJwRzn3_d9nzc7stD0R_kpt_cNHRLQIBcDyw&oe=65297AE7&_nc_sid=8b3546
stoopingnyc,post,3208616030267604242,This is a red nerd alert!!!!!! And I’m including ME. In front of 347 S Fifth Street #stoopingbrooklyn,2023-10-07 22:14:19,None,https://www.instagram.com/p/CyHS0eQuX0S,GraphImage,1,['stoopingbrooklyn'],[],1034,15,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/387265580_686452503134914_6048355016422589461_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=d6byv0eIJ_sAX9VWsur&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwODYxNjAzMDI2NzYwNDI0Mg%3D%3D.2-ccb7-5&oh=00_AfCDgoefIUQuMa6VKbva9JmrCUGNkrc1_RBoCc6wuVsFUg&oe=6528801C&_nc_sid=8b3546
stoopingnyc,post,3208501740785136020,Getting watered! 46th street between 9th and 10th! #stooping,2023-10-07 18:27:14,None,https://www.instagram.com/p/CyG41V4uHGU,GraphImage,1,['stooping'],[],2544,41,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/386897980_6999302183436303_7403219320151059419_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=6A2K2TvwKW4AX-BzyQg&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBd1WtMr-uHRyv_duju0RVRgtnxwhDVda6BRYXYVaUZ4Q&oe=6528AA2D&_nc_sid=bc0c2c
stoopingnyc,post,3208500786337716474,Someone rescue this! Madison and 94th again! #stooping,2023-10-07 18:25:21,None,https://www.instagram.com/p/CyG4nc_OJj6,GraphImage,1,['stooping'],[],334,9,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/386454940_280526248147650_2560433835856735320_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=L-Ec57MC-nkAX_6MPOP&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCL2qDePaa3T0CavB-Z8NdR22X6UUzwTOzp8aBKIMDqXw&oe=6528F32A&_nc_sid=bc0c2c
stoopingnyc,post,3208012050273185571,So many drawers. At 38 St. Marks PL in brooklyn! #stoopingbrooklyn,2023-10-07 02:14:19,None,https://www.instagram.com/p/CyFJfaDtK8j,GraphImage,1,['stoopingbrooklyn'],[],452,4,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/386476890_335849958984666_3947121045388651292_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=k9QXXNkGr2MAX-v3GwG&edm=APU89FABAAAA&ccb=7-5&oh=00_AfATcp9lmd5r5_vexgOvBDbYHdJC_NjDAXJL6Zt_oYQCfw&oe=6529C7F7&_nc_sid=bc0c2c
stoopingnyc,post,3207625973289348548,Super cool. A Japanese pachinko machine. Don’t know if it works! 118 w72nd. #stooping,2023-10-06 13:27:15,None,https://www.instagram.com/p/CyDxtP2Om3E,GraphImage,1,['stooping'],[],1590,28,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/386459875_24479048868348956_855900610609346600_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=BAB5Lck2sJQAX8O-g6P&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAVxBgmhYbp1yf_wxg2azudK06GKXN9ZqBlzzN0IHCHLA&oe=65294DEA&_nc_sid=bc0c2c
stoopingnyc,post,3207625015864017273,Thanks to @muriellebachelier_ for sending us this @madamefigarofr mention about @stoopingnyc! Our French is a little rusty… do they say nice things??? 😂,2023-10-06 13:25:21,None,https://www.instagram.com/p/CyDxfULO0F5,GraphSidecar,2,[],"['muriellebachelier_', 'madamefigarofr', 'stoopingnyc']",125,1,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/386245584_335541392339285_8182351509134982042_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_ohc=Q6_-ro4rp6AAX8nVA0e&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAbwt1t_jj5kZf3MJnSd19rYY2J1bR1ewEAiKszzY6zTg&oe=652893C4&_nc_sid=bc0c2c
stoopingnyc,post,3207274211239545720,@colinhodgkin better get @subway for life for this #stoopingsuccess 😂,2023-10-06 01:50:02,None,https://www.instagram.com/p/CyChub6NEt4,GraphVideo,1,['stoopingsuccess'],"['colinhodgkin', 'subway']",3272,39,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/386637746_886469219502562_7409785407500359231_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=UncC1px2jpYAX_YoZ6o&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD0He1LGFovBz0pa3fEkLWdCgiAWRBblJdC8CoecnyFoQ&oe=65262D78&_nc_sid=bc0c2c
stoopingnyc,post,3207181132621366679,Great low coffee table/TV stand on Greene Ave between Classon and Franklin. #stoopingbrooklyn,2023-10-05 22:43:26,None,https://www.instagram.com/p/CyCMj9sO0WX,GraphImage,1,['stoopingbrooklyn'],[],312,2,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/386333078_859730219197173_1427392257928061675_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=iI1J4k3G2p0AX8aIz_O&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC4yVeJa8IwNXbhgd4QeWarKYHTXW0M0jWmFKXsaIwJ2g&oe=6529233B&_nc_sid=bc0c2c
stoopingnyc,post,3207180754236401765,I’m 78% positive this is the way it looks and not missing leg. If so… I like it! Glass coffee table outside 86 Montague Street between Court and Clinton Streets. #stoopingbrooklyn,2023-10-05 22:42:40,None,https://www.instagram.com/p/CyCMedSuuhl,GraphImage,1,['stoopingbrooklyn'],[],1399,14,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/386549408_635400028786238_4147036910191485631_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=eJ46pZgELZQAX_5HDB0&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAFAB55CncUIu00ZjH05-4_8kkt6diqaAC4m1q9j3B0SQ&oe=652863E3&_nc_sid=bc0c2c
