Account,Post Type,Media ID,Caption,Date,Location,Post URL,Type Name,Media Count,Caption Hashtags,Caption Mentions,Likes,Comments,Title,URL,regex_street_address,ny_regex_street_address,regex_latitude,regex_longitude,regex_coordinates,caption cleaned,caption parts,burrough,lat_long_pairs,regex_distance,parsed_distance,regex_nearby,parsed_nearby
stoopingnyc,post,3233833441002355853,This. Is. Awesome. On Harman between Irving and Knickerbocker #stoopingbrooklyn,2023-11-11 17:16:48,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.649973, lng=-73.949961)",https://www.instagram.com/p/Czg4mGJuXyN,GraphSidecar,2,stoopingbrooklyn,[],941,19,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/400839314_3542557989365020_8257482835291404074_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=cbIB8tUqmuwAX99nUo1&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDIfl7dc_TVC-npoLsU1KUpzRSdEdyET5NgQlCkyL_wsQ&oe=655698E9&_nc_sid=bc0c2c,,,,,"nan, nan",This. Is. Awesome. On Harman between Irving and Knickerbocker #stoopingbrooklyn,"['This', 'Is', 'Awesome', 'On Harman between Irving and Knickerbocker', 'stoopingbrooklyn']",Brooklyn,"[(32.8140177, -96.9488945)]",,[1379.6647955567576],False,False
stoopingnyc,post,3233830606541967040,“Works well. I’m just lazy”. Same. Same. Free working stationary bike! Underhill btwn st marks and Bergen. #stoopingbrooklyn,2023-11-11 17:11:10,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.649973, lng=-73.949961)",https://www.instagram.com/p/Czg382WuE7A,GraphSidecar,2,stoopingbrooklyn,[],728,6,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/400353191_1459357664922621_8915861921657299339_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=5cc4y_NOKksAX_lE2cS&edm=APU89FABAAAA&ccb=7-5&oh=00_AfACER9AM5Ah04Himv9a7QIMITO3VErSaGUZr3dmQ7oVVQ&oe=65574667&_nc_sid=bc0c2c,,,,,"nan, nan", Works well. I m just lazy . Same. Same. Free working stationary bike! Underhill btwn st marks and Bergen. #stoopingbrooklyn,"[' Works well', 'I m just lazy', 'Same', 'Same', 'Free working stationary bike', 'Underhill btwn st marks and Bergen', 'stoopingbrooklyn']",Brooklyn,"[(7.272179299999999, 80.5920615)]",,[8756.427300324802],False,False
stoopingnyc,post,3233805503783690705,Laser discs? I missed that era. Spotted on Bleecker between central and evergreen in bushwick. #stoopingbrooklyn,2023-11-11 16:21:18,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.649973, lng=-73.949961)",https://www.instagram.com/p/CzgyPjluuHR,GraphImage,1,stoopingbrooklyn,[],1402,29,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/400417597_302399675972966_4238391796489243931_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi45NzJ4OTcyLnNkciJ9&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=klP_h9nN9HUAX8zFwi7&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzMzgwNTUwMzc4MzY5MDcwNQ%3D%3D.2-ccb7-5&oh=00_AfBm9Efq0tnHjyUFY6AzGgQfUFjVOKBRGkZ3Fn1Br8CyUQ&oe=65579048&_nc_sid=fc8dfb,,,,,"nan, nan",Laser discs? I missed that era. Spotted on Bleecker between central and evergreen in bushwick. #stoopingbrooklyn,"['Laser discs', 'I missed that era', 'Spotted', 'Bleecker between central and evergreen in bushwick', 'stoopingbrooklyn']",Brooklyn,"[(40.701617, -73.91485)]",,[4.883954393738958],False,False
stoopingnyc,post,3233320426737362438,Branding this a “precious piece”. 136 Adam Clayton powell  #stooping,2023-11-11 00:17:32,"PostLocation(id=212988663, name='New York, New York', slug='new-york-new-york', has_public_page=True, lat=40.7142, lng=-74.0064)",https://www.instagram.com/p/CzfD8wYseYG,GraphImage,1,stooping,[],249,3,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/400274163_650241570429100_5245252166098404410_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzMweDEzNzEuc2RyIn0&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=D2GVlaRZD3AAX8hxl5f&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzMzMyMDQyNjczNzM2MjQzOA%3D%3D.2-ccb7-5&oh=00_AfBlM8TESrerN0fzbVMFs_YE5evjkspjD0eXVtUebtrSxg&oe=6557F798&_nc_sid=fc8dfb,136 Adam Clayton powell,"136 Adam Clayton powell, New York, New York",40.8134373,-73.9451946,"40.8134373, -73.9451946",Branding this a  precious piece . 136 Adam Clayton powell  #stooping,"['Branding this a', 'precious piece', '136 Adam Clayton powell', 'stooping']",New York City,"[(54.1575196, 21.8843823)]",6.682964869799071,[4232.742643611179],False,False
stoopingnyc,post,3233165045130815158,Oh so pretty! N 5th and Wythe #stoopingbrooklyn,2023-11-10 19:08:49,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.649973, lng=-73.949961)",https://www.instagram.com/p/Czegnp_O2a2,GraphImage,1,stoopingbrooklyn,[],251,0,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/369817306_354697153725598_2543407945631242041_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDA4eDEwMDguc2RyIn0&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=jCEZBJxxwEcAX_ycqUn&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzMzE2NTA0NTEzMDgxNTE1OA%3D%3D.2-ccb7-5&oh=00_AfAsB2RWELb4W5BuN8boVZ81LHaMZUCz6EN4Q49r-GezhQ&oe=6557630A&_nc_sid=fc8dfb,,,,,"nan, nan",Oh so pretty! N 5th and Wythe #stoopingbrooklyn,"['Oh so pretty', 'N 5th and Wythe', 'stoopingbrooklyn']",Brooklyn,"[(52.03668829999999, -1.8710551)]",,[3387.396624804194],False,False
stoopingnyc,post,3233050879137010707,Legit couch on Willoughby between waverly and Washington! #stoopingbrooklyn,2023-11-10 15:22:00,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.649973, lng=-73.949961)",https://www.instagram.com/p/CzeGqUnudQT,GraphImage,1,stoopingbrooklyn,[],3345,56,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/400641791_359874409747453_8009462973389362748_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43OTF4NzkxLnNkciJ9&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=SkLxC2s47doAX9g5qJG&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzMzA1MDg3OTEzNzAxMDcwNw%3D%3D.2-ccb7-5&oh=00_AfCWSYzkxqCllBMePcLm769Q6xyAO-HIecgPNUo34KYU3A&oe=65577C5B&_nc_sid=fc8dfb,,,,,"nan, nan",Legit couch on Willoughby between waverly and Washington! #stoopingbrooklyn,"['Legit couch', 'Willoughby between waverly and Washington', 'stoopingbrooklyn']",Brooklyn,"[(47.7510741, -120.7401386)]",,[2333.0147830144233],False,False
stoopingnyc,post,3232991020915915099,Good morning Stoopers! Some really nice chairs on woodward and bleecker in ridgewood! #stoopingqueens,2023-11-10 13:23:04,"PostLocation(id=213104390, name='Queens, New York', slug='queens-new-york', has_public_page=True, lat=40.703545, lng=-73.921122)",https://www.instagram.com/p/Czd5DRTuHlb,GraphImage,1,stoopingqueens,[],144,4,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/400006958_353903357041946_8185015689975611916_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDcyeDEwNzIuc2RyIn0&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=y1bZ5hxOYPEAX_n9fsd&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzMjk5MTAyMDkxNTkxNTA5OQ%3D%3D.2-ccb7-5&oh=00_AfBcjgTrQmt-2iFuKhEJgSL5-_I2Tj38sgRh0dBOhb695g&oe=65574A59&_nc_sid=fc8dfb,,,,,"nan, nan",Good morning Stoopers! Some really nice chairs on woodward and bleecker in ridgewood! #stoopingqueens,"['Good morning Stoopers', 'Some really nice chairs', 'woodward and bleecker in ridgewood', 'stoopingqueens']",Queens,"[(40.7030904, -73.9133417)]",,[4.923491863525135],False,False
stoopingnyc,post,3232636587505829516,So curious! Someone tell us more! In front of Amiri. 76 Greene St. #stooping,2023-11-10 01:38:52,"PostLocation(id=212988663, name='New York, New York', slug='new-york-new-york', has_public_page=True, lat=40.7142, lng=-74.0064)",https://www.instagram.com/p/CzcodleN0aM,GraphImage,1,stooping,[],1176,21,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/400414689_1023468075629438_862418929064121459_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi44MzF4ODMxLnNkciJ9&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=jAZdabGjBfQAX-2jnmB&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzMjYzNjU4NzUwNTgyOTUxNg%3D%3D.2-ccb7-5&oh=00_AfCBkhkER-HHgAGQ3JJX1r4jzYAJhIgSiW5ak1wdGwO7QA&oe=65574DA6&_nc_sid=fc8dfb,76 Greene St,"76 Greene St, New York, New York",40.7233557,-74.0006169,"40.7233557, -74.0006169",So curious! Someone tell us more! In front of Amiri. 76 Greene st #stooping,"['So curious', 'Someone tell us more', 'In front', 'Amiri', '76 Greene st', 'stooping']",New York City,"[(57.5663356, 39.82894530000001)]",0.23871901774867416,[4660.581419519924],True,False
stoopingnyc,post,3232317163657946006,Too much clownin around. @ Harman and Irving in Bushwick #stoopingbrooklyn,2023-11-09 15:04:14,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.649973, lng=-73.949961)",https://www.instagram.com/p/Czbf1W1OuOW,GraphImage,1,stoopingbrooklyn,[],155,3,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/399466049_352759110611907_3638102361616798667_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=5XRFA0MuQEwAX_f8NO4&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzMjMxNzE2MzY1Nzk0NjAwNg%3D%3D.2-ccb7-5&oh=00_AfD1pUuhPHSggTm072okHNXQYV5RIiyli92FGUUwbQET_Q&oe=65569DCB&_nc_sid=fc8dfb,,,,,"nan, nan",Too much clownin around. @ Harman and Irving in Bushwick #stoopingbrooklyn,"['Too much clownin around', '@ Harman and Irving in Bushwick', 'stoopingbrooklyn']",Brooklyn,"[(40.6957755, -73.9170604)]",,[4.936108160505218],False,False
stoopingnyc,post,3232312118413621803,A danish modern throne. In front of Lobo 218 Court btwn Warren/Baltic #stoopingbrooklyn,2023-11-09 14:54:12,"PostLocation(id=212950988, name='Brooklyn, New York', slug='brooklyn-new-york', has_public_page=True, lat=40.649973, lng=-73.949961)",https://www.instagram.com/p/Czber8FO_or,GraphImage,1,stoopingbrooklyn,[],272,2,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/399931949_284709821208959_4802013113098103864_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi41Mjd4NTI3LnNkciJ9&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=rLWRE5fA5hoAX-W35KO&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzIzMjMxMjExODQxMzYyMTgwMw%3D%3D.2-ccb7-5&oh=00_AfBkbuGSq8NDYGocla-aJ4-kwYI2qnuJhpkX7HWgEzfGsA&oe=655818BF&_nc_sid=fc8dfb,218 Court btwn Warren,"218 Court btwn Warren, New York, New York",40.7127753,-74.0059728,"40.7127753, -74.0059728",A danish modern throne. In front of Lobo 218 Court btwn Warren Baltic #stoopingbrooklyn,"['A danish modern throne', 'In front', 'Lobo 218 Court btwn Warren Baltic', 'stoopingbrooklyn']",Brooklyn,"[(56.26392, 9.501785), (59.4123264, 24.605671)]",0.9842339754045256,"[3729.3301624112114, 4138.931205964788]",True,False
